timestamp_s,date_jst,time_jst,datetime_jst,connected,demo_mode,pressure_MPa,vesim_mA,emergency_stop,fill_active,ignition_active,can_confirm,armed_state,auto_purge,limit_ch5,launch_voltage_V,sat_voltage_V,cmd_SHIFT,cmd_FILL,cmd_DUMP,cmd_OXYGEN,cmd_IGNITER,cmd_OPEN,cmd_CLOSE,cmd_PURGE,fb_SHIFT,fb_FILL,fb_DUMP,fb_OXYGEN,fb_IGNITER,fb_OPEN,fb_CLOSE,fb_PURGE
1788006536.6,2026-08-29,21:28:56.599,2026-08-29 21:28:56.599,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006536.712,2026-08-29,21:28:56.711,2026-08-29 21:28:56.711,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006536.82,2026-08-29,21:28:56.820,2026-08-29 21:28:56.820,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006536.929,2026-08-29,21:28:56.928,2026-08-29 21:28:56.928,1,1,0.002,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.039,2026-08-29,21:28:57.038,2026-08-29 21:28:57.038,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.147,2026-08-29,21:28:57.146,2026-08-29 21:28:57.146,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.254,2026-08-29,21:28:57.254,2026-08-29 21:28:57.254,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.363,2026-08-29,21:28:57.362,2026-08-29 21:28:57.362,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.471,2026-08-29,21:28:57.471,2026-08-29 21:28:57.471,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.579,2026-08-29,21:28:57.578,2026-08-29 21:28:57.578,1,1,0.002,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
